DayOfWeek,Date,Half hour,demand,,,,,
Thursday,01-Jul-10,1,27035,0.01664687,-0.98335313,-1.98335313,0.98335313,7035
Thursday,01-Jul-10,2,25989,0.016002793,-0.983997207,-1.983997207,0.983997207,5989
Thursday,01-Jul-10,3,25462,0.015678291,-0.984321709,-1.984321709,0.984321709,5462
Thursday,01-Jul-10,4,24998,0.015392582,-0.984607418,-1.984607418,0.984607418,4998
Thursday,01-Jul-10,5,24422,0.015037909,-0.984962091,-1.984962091,0.984962091,4422
Thursday,01-Jul-10,6,24066,0.014818701,-0.985181299,-1.985181299,0.985181299,4066
Thursday,01-Jul-10,7,23948,0.014746042,-0.985253958,-1.985253958,0.985253958,3948
Thursday,01-Jul-10,8,23839,0.014678925,-0.985321075,-1.985321075,0.985321075,3839
Thursday,01-Jul-10,9,23736,0.014615503,-0.985384497,-1.985384497,0.985384497,3736
Thursday,01-Jul-10,10,23061,0.01419987,-0.98580013,-1.98580013,0.98580013,3061
Thursday,01-Jul-10,11,23297,0.014345187,-0.985654813,-1.985654813,0.985654813,3297
Thursday,01-Jul-10,12,23992,0.014773135,-0.985226865,-1.985226865,0.985226865,3992
Thursday,01-Jul-10,13,26418,0.016266951,-0.983733049,-1.983733049,0.983733049,6418
Thursday,01-Jul-10,14,29288,0.018034161,-0.981965839,-1.981965839,0.981965839,9288
Thursday,01-Jul-10,15,32837,0.020219467,-0.979780533,-1.979780533,0.979780533,12837
Thursday,01-Jul-10,16,35193,0.02167018,-0.97832982,-1.97832982,0.97832982,15193
Thursday,01-Jul-10,17,36874,0.02270526,-0.97729474,-1.97729474,0.97729474,16874
Thursday,01-Jul-10,18,37692,0.023208945,-0.976791055,-1.976791055,0.976791055,17692
Thursday,01-Jul-10,19,38683,0.023819156,-0.976180844,-1.976180844,0.976180844,18683
Thursday,01-Jul-10,20,39062,0.024052526,-0.975947474,-1.975947474,0.975947474,19062
Thursday,01-Jul-10,21,39275,0.024183681,-0.975816319,-1.975816319,0.975816319,19275
Thursday,01-Jul-10,22,39737,0.024468159,-0.975531841,-1.975531841,0.975531841,19737
Thursday,01-Jul-10,23,39991,0.02462456,-0.97537544,-1.97537544,0.97537544,19991
Thursday,01-Jul-10,24,40060,0.024667047,-0.975332953,-1.975332953,0.975332953,20060
Thursday,01-Jul-10,25,40166,0.024732317,-0.975267683,-1.975267683,0.975267683,20166
Thursday,01-Jul-10,26,39966,0.024609166,-0.975390834,-1.975390834,0.975390834,19966
Thursday,01-Jul-10,27,39979,0.024617171,-0.975382829,-1.975382829,0.975382829,19979
Thursday,01-Jul-10,28,39805,0.02451003,-0.97548997,-1.97548997,0.97548997,19805
Thursday,01-Jul-10,29,39490,0.024316068,-0.975683932,-1.975683932,0.975683932,19490
Thursday,01-Jul-10,30,39344,0.024226168,-0.975773832,-1.975773832,0.975773832,19344
Thursday,01-Jul-10,31,39311,0.024205849,-0.975794151,-1.975794151,0.975794151,19311
Thursday,01-Jul-10,32,39648,0.024413357,-0.975586643,-1.975586643,0.975586643,19648
Thursday,01-Jul-10,33,39889,0.024561754,-0.975438246,-1.975438246,0.975438246,19889
Thursday,01-Jul-10,34,40208,0.024758179,-0.975241821,-1.975241821,0.975241821,20208
Thursday,01-Jul-10,35,40166,0.024732317,-0.975267683,-1.975267683,0.975267683,20166
Thursday,01-Jul-10,36,39495,0.024319147,-0.975680853,-1.975680853,0.975680853,19495
Thursday,01-Jul-10,37,38620,0.023780364,-0.976219636,-1.976219636,0.976219636,18620
Thursday,01-Jul-10,38,37976,0.023383819,-0.976616181,-1.976616181,0.976616181,17976
Thursday,01-Jul-10,39,37126,0.022860429,-0.977139571,-1.977139571,0.977139571,17126
Thursday,01-Jul-10,40,36490,0.022468811,-0.977531189,-1.977531189,0.977531189,16490
Thursday,01-Jul-10,41,35853,0.022076576,-0.977923424,-1.977923424,0.977923424,15853
Thursday,01-Jul-10,42,35266,0.021715129,-0.978284871,-1.978284871,0.978284871,15266
Thursday,01-Jul-10,43,35304,0.021738528,-0.978261472,-1.978261472,0.978261472,15304
Thursday,01-Jul-10,44,35241,0.021699736,-0.978300264,-1.978300264,0.978300264,15241
Thursday,01-Jul-10,45,34610,0.021311196,-0.978688804,-1.978688804,0.978688804,14610
Thursday,01-Jul-10,46,32588,0.020066144,-0.979933856,-1.979933856,0.979933856,12588
Thursday,01-Jul-10,47,30292,0.018652376,-0.981347624,-1.981347624,0.981347624,10292
Thursday,01-Jul-10,48,28241,0.017389468,-0.982610532,-1.982610532,0.982610532,8241
,,,,,,,,
,,,1624029,1,-47,-95,47,13833.9375
