DayOfWeek,Date,Half hour,demand
Thursday,01-Jul-10,1,27035
Thursday,01-Jul-10,2,25989
Thursday,01-Jul-10,3,25462
Thursday,01-Jul-10,4,24998
Thursday,01-Jul-10,5,24422
Thursday,01-Jul-10,6,24066
Thursday,01-Jul-10,7,23948
Thursday,01-Jul-10,8,23839
Thursday,01-Jul-10,9,23736
Thursday,01-Jul-10,10,23061
Thursday,01-Jul-10,11,23297
Thursday,01-Jul-10,12,23992
Thursday,01-Jul-10,13,26418
Thursday,01-Jul-10,14,29288
Thursday,01-Jul-10,15,32837
Thursday,01-Jul-10,16,35193
Thursday,01-Jul-10,17,36874
Thursday,01-Jul-10,18,37692
Thursday,01-Jul-10,19,38683
Thursday,01-Jul-10,20,39062
Thursday,01-Jul-10,21,39275
Thursday,01-Jul-10,22,39737
Thursday,01-Jul-10,23,39991
Thursday,01-Jul-10,24,40060
Thursday,01-Jul-10,25,40166
Thursday,01-Jul-10,26,39966
Thursday,01-Jul-10,27,39979
Thursday,01-Jul-10,28,39805
Thursday,01-Jul-10,29,39490
Thursday,01-Jul-10,30,39344
Thursday,01-Jul-10,31,39311
Thursday,01-Jul-10,32,39648
Thursday,01-Jul-10,33,39889
Thursday,01-Jul-10,34,40208
Thursday,01-Jul-10,35,40166
Thursday,01-Jul-10,36,39495
Thursday,01-Jul-10,37,38620
Thursday,01-Jul-10,38,37976
Thursday,01-Jul-10,39,37126
Thursday,01-Jul-10,40,36490
Thursday,01-Jul-10,41,35853
Thursday,01-Jul-10,42,35266
Thursday,01-Jul-10,43,35304
Thursday,01-Jul-10,44,35241
Thursday,01-Jul-10,45,34610
Thursday,01-Jul-10,46,32588
Thursday,01-Jul-10,47,30292
Thursday,01-Jul-10,48,28241
