halfHour,demand0
1,0.07735
2,0.03935
3,0.0528
4,0.04945
5,0.0527
6,0.06515
7,0.071
8,0.0688
9,0.05915
10,0.07785
11,0.10805
12,0.0617
13,0.0933
14,0.12375
15,0.20545
16,0.3433
17,0.4543
18,0.4054
19,0.47515
20,0.40505
21,0.28135
22,0.33405
23,0.27945
24,0.2931
25,0.34235
26,0.4489
27,0.3196
28,0.20935
29,0.2157
30,0.18435
31,0.29755
32,0.5819
33,0.6181
34,0.7585
35,0.76525
36,0.73215
37,0.675
38,0.58435
39,0.56455
40,0.4453
41,0.4639
42,0.34995
43,0.41315
44,0.39075
45,0.3878
46,0.27635
47,0.1753
48,0.1677
