halfHour,demand0
1,0.400805322
2,0.415645669
3,0.417159701
4,0.273945567
5,0.350564002
6,0.343835823
7,0.376891096
8,0.294742832
9,0.301992808
10,0.257279965
11,0.301747704
12,0.303197316
13,0.299096511
14,0.402252121
15,0.483787374
16,0.590358144
17,0.650079334
18,0.579920988
19,0.492657621
20,0.444902271
21,0.504475094
22,0.517212332
23,0.842186494
24,0.803486094
25,0.961688246
26,0.925818459
27,0.715374396
28,0.703370802
29,0.584786605
30,0.75774504
31,0.664464663
32,0.655889896
33,1.081496395
34,1.01207353
35,1.319766005
36,1.248492039
37,1.173173891
38,0.825378699
39,0.923794028
40,0.849067089
41,1.107860976
42,1.053772562
43,0.949472989
44,0.933203563
45,0.727410407
46,0.649634196
47,0.622953021
48,0.520754121
